year,mainstream_dollar,private_dollar,mission_dollar,total
2003,341917577.5,35702519.92,8751455.36,386371552.8
2004,484284211.3,28746119.36,28415461.22,541445791.9
2005,781546996.6,42334559.86,44859370.18,868740926.6
2006,588964466.9,109875589.5,74531439.62,773371496
2007,578260793.9,25931811.26,40233352.8,644425957.9
2008,508248898.2,20885364.78,152886668.2,682020931.2
2009,216429505.4,24420040.79,54198477,295048023.2
2010,237103499.1,19847024.88,111101526.9,368052050.9
2011,213731758.3,88914480.26,104778014.1,407424252.7
2012,340582223.7,27882233.07,129384684.5,497849141.3
2013,442812893.8,61468786.17,82041270.75,586322950.7
2014,610126820.2,52257538.76,77664272.56,740048631.5
2015,530373924.9,16479063.15,77060431.97,623913420.1